Country,Happiness Score_2015,GDP per Capita_2015,Family_2015,Healthy Life Expectancy_2015,Freedom_2015,Perception of Government Corruption_2015,Generosity_2015,Happiness Score_2016,GDP per Capita_2016,Family_2016,Healthy Life Expectancy_2016,Freedom_2016,Perception of Government Corruption_2016,Generosity_2016,Happiness Score_2017,GDP per Capita_2017,Family_2017,Healthy Life Expectancy_2017,Freedom_2017,Perception of Government Corruption_2017,Generosity_2017,Happiness Score_2018,GDP per Capita_2018,Family_2018,Healthy Life Expectancy_2018,Freedom_2018,Perception of Government Corruption_2018,Generosity_2018,Happiness Score_2019,GDP per Capita_2019,Family_2019,Healthy Life Expectancy_2019,Freedom_2019,Perception of Government Corruption_2019,Generosity_2019,Happiness Score_2020,GDP per Capita_2020,Family_2020,Healthy Life Expectancy_2020,Freedom_2020,Perception of Government Corruption_2020,Generosity_2020,6 Year Average
Kuwait,6.295,1.5542200000000002,1.16594,0.72492,0.55499,0.25609,0.16228,6.239,1.61714,0.8775799999999999,0.63569,0.43166000000000004,0.23669,0.15965,6.10500001907349,1.63295245170593,1.25969874858856,0.6321057081222529,0.49633759260177596,0.21515955030918105,0.228289797902107,6.0829999999999975,1.474,1.301,0.675,0.5539999999999999,0.106,0.16699999999999998,6.021,1.5,1.319,0.8079999999999999,0.493,0.09699999999999999,0.142,6.102099895,1.424833655,1.244779825,0.776468933,0.5702614189999999,0.112814933,0.132751092,6.140849985678915
El Salvador,6.13,0.76454,1.0250700000000001,0.67737,0.4035,0.11775999999999999,0.10692,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,6.0029997825622585,0.9097844958305359,1.1821250915527302,0.596018552780151,0.432452529668808,0.0899809598922729,0.0782579854130745,6.1670000000000025,0.8059999999999999,1.2309999999999999,0.639,0.461,0.08199999999999999,0.065,6.252999999999999,0.794,1.242,0.789,0.43,0.07400000000000001,0.09300000000000001,6.34829998,0.748940408,1.149397612,0.752730012,0.5240439179999999,0.11703035199999999,0.11893630000000001,6.161549960427043
Guatemala,6.1229999999999976,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,6.324,0.83454,0.8711899999999999,0.5403899999999999,0.50379,0.08701,0.28808,6.4539999961853,0.872001945972443,1.25558519363403,0.540239989757538,0.5313106179237371,0.0772232785820961,0.283488392829895,6.3820000000000014,0.7809999999999999,1.268,0.608,0.604,0.071,0.179,6.436,0.8,1.2690000000000001,0.746,0.535,0.078,0.175,6.398900032,0.7538157109999999,1.174267054,0.705952585,0.613146722,0.09836030000000001,0.170611665,6.352983338030884
Uzbekistan,6.002999999999999,0.63244,1.34043,0.59772,0.6582100000000001,0.30826,0.22837,5.987,0.7359100000000001,1.1681,0.50163,0.60848,0.28333,0.34326,5.97100019454956,0.786441087722778,1.5489691495895401,0.498272627592087,0.6582486629486078,0.246528223156929,0.41598364710807795,6.096,0.7190000000000001,1.584,0.605,0.7240000000000001,0.259,0.32799999999999996,6.1739999999999995,0.745,1.5290000000000001,0.7559999999999999,0.631,0.24,0.322,6.257599831,0.6966529490000001,1.4340200419999998,0.716703713,0.6932703259999999,0.280260265,0.36331102299999996,6.081433337591593
Slovakia,5.995,1.1689100000000001,1.26999,0.7890199999999999,0.31751,0.03431,0.16893,6.077999999999999,1.27973,1.0826799999999999,0.70367,0.23390999999999998,0.02947,0.13837,6.09800004959106,1.32539355754852,1.5050592422485398,0.712732911109924,0.295817464590073,0.0242108516395092,0.136544480919838,6.172999999999999,1.21,1.537,0.7759999999999999,0.354,0.013999999999999999,0.11800000000000001,6.1979999999999995,1.246,1.504,0.8809999999999999,0.33399999999999996,0.013999999999999999,0.121,6.280600071,1.194837689,1.424331188,0.853465259,0.423542529,0.011291441000000001,0.11672977400000001,6.137100020098511
Japan,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,5.921,1.3800700000000001,1.06054,0.91491,0.46761,0.18985,0.10224,5.92000007629395,1.41691517829895,1.43633782863617,0.9134758710861208,0.505625545978546,0.163760736584663,0.12057276815175999,5.915,1.294,1.462,0.988,0.5529999999999999,0.15,0.079,5.886,1.327,1.419,1.088,0.445,0.14,0.069,5.870800018,1.26672411,1.332338691,1.072881341,0.495465875,0.18143963800000001,0.03571178,5.916633349048991
South Korea,5.984,1.24461,0.9577399999999999,0.9653799999999999,0.33208000000000004,0.07857,0.18557,5.835,1.35948,0.7219399999999999,0.88645,0.25168,0.07716,0.18824000000000002,5.837999820709231,1.40167844295502,1.1282744407653795,0.900214076042175,0.257921665906906,0.0632826685905457,0.206674367189407,5.875,1.266,1.204,0.955,0.244,0.051,0.175,5.895,1.301,1.219,1.036,0.159,0.055999999999999994,0.175,5.872399807000001,1.245300651,1.133560538,1.0225425959999999,0.25935635,0.09459628199999999,0.17030386600000005,5.8832332712848725
Ecuador,5.975,0.8640200000000001,0.99903,0.79075,0.48573999999999995,0.1809,0.11540999999999994,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,6.00799989700317,1.00082039833069,1.2861688137054401,0.685636222362518,0.4551981985569,0.140134647488594,0.15011246502399406,5.973,0.889,1.33,0.736,0.556,0.12,0.114,6.028,0.912,1.3119999999999998,0.868,0.498,0.087,0.126,5.925199986,0.853383601,1.221027613,0.838837743,0.555234551,0.086753383,0.115006477,5.980866647167194
Bahrain,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,6.218,1.44024,0.9439700000000001,0.65696,0.47375,0.25772,0.17147,6.08699989318848,1.4884122610092199,1.3231104612350502,0.653133034706116,0.536746919155121,0.257042169570923,0.17266848683357194,6.105,1.338,1.3659999999999999,0.698,0.594,0.12300000000000001,0.243,6.199,1.3619999999999999,1.368,0.871,0.536,0.11,0.255,6.227300167,1.296692252,1.31532371,0.838836372,0.610399902,0.12669725699999998,0.287453711,6.132716676698081
Italy,5.9479999999999995,1.25114,1.19777,0.9544600000000001,0.26236,0.02901,0.22823000000000002,5.977,1.35495,1.04167,0.8510200000000001,0.18827,0.02556,0.16684000000000002,5.96400022506714,1.3950666189193701,1.44492328166962,0.8531443476676941,0.256450712680817,0.0280280914157629,0.17278964817523998,6.0,1.264,1.501,0.946,0.281,0.027999999999999997,0.13699999999999998,6.223,1.294,1.4880000000000002,1.0390000000000001,0.231,0.03,0.158,6.38740015,1.236396074,1.3472959999999998,1.0225049259999999,0.321305573,0.040145598,0.17026621100000006,6.083233395844523
